1 41767
0 15393
11 30579
10 15393
20 40657
21 15393
30 24970
31 18324
40 43294
50 43236
51 15393
61 36159
60 15393
71 43289
70 15393
80 43294
91 34860
90 15393
100 43284
101 15393
111 31462
110 15393
122 27125
120 15393
121 15393
132 26226
131 15393
130 15393
142 16306
140 15393
141 15393
151 29383
152 15393
150 15393
160 43260
161 15393
170 23360
172 15393
171 15393
180 27637
182 15393
181 15393
190 42939
191 15393
192 15393
201 42939
202 15393
200 15393
210 39284
212 15393
211 15393
220 41912
222 15393
221 15393
230 39272
231 15393
232 15393
240 35772
241 15393
242 15393
252 31846
250 15393
251 15393
260 32264
261 15393
270 31824
272 15393
271 15393
280 34566
282 15393
281 15393
290 36539
292 15393
291 15393
300 39108
301 15393
302 15393
310 35823
312 15393
311 15393
320 42958
321 15393
322 15393
330 42851
332 15393
331 15393
340 41912
342 15393
341 15393
350 43294
360 43271
361 15393
370 41516
372 15393
371 15393
380 35235
381 15393
390 43294
400 41508
402 15393
401 15393
410 43292
412 15393
411 15393
420 35531
422 15393
421 15393
431 15393
441 31137
451 15393
461 15393
471 15393
481 15393
491 15393
501 33332
511 32241
521 31654
531 15393
541 15393
